,state,state_po,county_fips,party_simplified,votes,totalVotes_x,totalStateVotes,totalVotes_y,votePercentage
251,ARKANSAS,AR,5097.0,LIBERTARIAN,87,3825,3825,11475,0.022745098039215685
252,ARKANSAS,AR,5097.0,REPUBLICAN,3103,3825,3825,11475,0.8112418300653594
253,ARKANSAS,AR,5099.0,DEMOCRAT,1068,3324,3324,9972,0.3212996389891697
254,ARKANSAS,AR,5099.0,LIBERTARIAN,78,3324,3324,9972,0.023465703971119134
255,ARKANSAS,AR,5099.0,REPUBLICAN,2178,3324,3324,9972,0.6552346570397112
256,ARKANSAS,AR,5101.0,DEMOCRAT,696,3900,3900,11700,0.17846153846153845
257,ARKANSAS,AR,5101.0,LIBERTARIAN,98,3900,3900,11700,0.025128205128205128
258,ARKANSAS,AR,5101.0,REPUBLICAN,3106,3900,3900,11700,0.7964102564102564
259,ARKANSAS,AR,5103.0,DEMOCRAT,3854,9496,9496,28488,0.40585509688289806
260,ARKANSAS,AR,5103.0,LIBERTARIAN,199,9496,9496,28488,0.02095619208087616
261,ARKANSAS,AR,5103.0,REPUBLICAN,5443,9496,9496,28488,0.5731887110362258
262,ARKANSAS,AR,5105.0,DEMOCRAT,1066,4608,4608,9216,0.23133680555555555
263,ARKANSAS,AR,5105.0,REPUBLICAN,3542,4608,4608,9216,0.7686631944444444
264,ARKANSAS,AR,5107.0,REPUBLICAN,4350,4350,4350,4350,1.0
265,ARKANSAS,AR,5109.0,DEMOCRAT,574,4195,4195,12585,0.1368295589988081
266,ARKANSAS,AR,5109.0,LIBERTARIAN,91,4195,4195,12585,0.02169249106078665
267,ARKANSAS,AR,5109.0,REPUBLICAN,3530,4195,4195,12585,0.8414779499404053
268,ARKANSAS,AR,5111.0,REPUBLICAN,6933,6933,6933,6933,1.0
269,ARKANSAS,AR,5113.0,DEMOCRAT,1089,8406,8406,25218,0.12955032119914348
270,ARKANSAS,AR,5113.0,LIBERTARIAN,298,8406,8406,25218,0.03545086842731383
271,ARKANSAS,AR,5113.0,REPUBLICAN,7019,8406,8406,25218,0.8349988103735427
272,ARKANSAS,AR,5115.0,DEMOCRAT,5117,24310,24310,72930,0.21048951048951048
273,ARKANSAS,AR,5115.0,LIBERTARIAN,714,24310,24310,72930,0.02937062937062937
274,ARKANSAS,AR,5115.0,REPUBLICAN,18479,24310,24310,72930,0.7601398601398601
275,ARKANSAS,AR,5117.0,REPUBLICAN,3130,3130,3130,3130,1.0
