location_key,county,cumulative_confirmed,cumulative_deceased
IA,19189,2984.0,47.0
IA,19191,3906.0,50.0
IA,19193,28838.0,339.0
IA,19195,1781.0,17.0
IA,19197,3626.0,63.0
ID,16001,135259.0,1022.0
ID,16003,704.0,15.0
ID,16005,20914.0,247.0
ID,16007,931.0,16.0
ID,16009,2397.0,41.0
ID,16011,9836.0,154.0
ID,16013,6059.0,30.0
ID,16015,1094.0,14.0
ID,16017,8941.0,188.0
ID,16019,30942.0,286.0
ID,16021,2107.0,62.0
ID,16023,476.0,9.0
ID,16025,158.0,2.0
ID,16027,61709.0,685.0
ID,16029,1495.0,28.0
ID,16031,5037.0,53.0
ID,16033,109.0,1.0
ID,16035,2324.0,33.0
ID,16037,532.0,9.0
ID,16039,7264.0,70.0
ID,16041,2331.0,29.0
ID,16043,2213.0,28.0
ID,16045,3681.0,79.0
ID,16047,3297.0,55.0
ID,16049,2998.0,52.0
ID,16051,6043.0,65.0
ID,16053,6101.0,65.0
ID,16055,42145.0,594.0
ID,16057,6801.0,49.0
ID,16059,1261.0,25.0
ID,16061,1134.0,29.0
ID,16063,1108.0,15.0
ID,16065,12674.0,50.0
ID,16067,4235.0,64.0
ID,16069,8969.0,148.0
ID,16071,807.0,11.0
ID,16073,2274.0,54.0
ID,16075,5586.0,87.0
ID,16077,1496.0,20.0
ID,16079,2746.0,76.0
ID,16081,2723.0,9.0
ID,16083,24129.0,296.0
ID,16085,2642.0,16.0
ID,16087,2394.0,57.0
IL,17001,22525.0,238.0
IL,17003,1288.0,15.0
IL,17005,4370.0,37.0
IL,17007,14162.0,130.0
IL,17009,2430.0,21.0
IL,17011,8461.0,140.0
IL,17013,1537.0,8.0
IL,17015,4301.0,49.0
IL,17017,4640.0,44.0
IL,17019,67086.0,297.0
IL,17021,10330.0,131.0
IL,17023,4887.0,60.0
IL,17025,4750.0,74.0
IL,17027,12066.0,122.0
IL,17029,15526.0,175.0
IL,17031,1193914.0,14936.0
IL,17033,6249.0,61.0
IL,17035,3381.0,49.0
IL,17037,24537.0,201.0
IL,17039,4424.0,45.0
IL,17041,6609.0,61.0
IL,17043,224631.0,1806.0
IL,17045,5209.0,79.0
IL,17047,1776.0,29.0
IL,17049,10711.0,150.0
IL,17051,7155.0,104.0
IL,17053,4496.0,75.0
IL,17055,12275.0,178.0
IL,17057,10257.0,135.0
IL,17059,1415.0,18.0
IL,17061,3663.0,58.0
IL,17063,13009.0,140.0
IL,17065,2181.0,34.0
IL,17067,4420.0,58.0
IL,17069,1059.0,20.0
IL,17071,1166.0,28.0
IL,17073,12884.0,150.0
IL,17075,7294.0,118.0
IL,17077,15840.0,130.0
IL,17079,2691.0,33.0
IL,17081,11159.0,176.0
IL,17083,6320.0,91.0
IL,17085,4105.0,39.0
IL,17087,4538.0,47.0
IL,17089,131751.0,1179.0
IL,17091,29350.0,373.0
IL,17093,32538.0,171.0
IL,17095,12722.0,246.0
IL,17097,159179.0,1466.0
IL,17099,29734.0,442.0
IL,17101,5494.0,52.0
IL,17103,9020.0,118.0
IL,17105,10928.0,149.0
IL,17107,9922.0,100.0
IL,17109,7303.0,105.0
IL,17111,79189.0,511.0
IL,17113,52348.0,330.0
IL,17115,31113.0,354.0
IL,17117,12975.0,171.0
IL,17119,71577.0,866.0
